pid,name,birthdate,college,height,weight,current_team
287,Terrence Jones,9-Jan-92,University of Kentucky,81,230,
288,Tyus Jones,10-May-96,Duke University,79,185,Minnesota Timberwolves
289,DeAndre Jordan,21-Jul-88,Texas A&M University,75,190,Los Angeles Clippers
290,Cory Joseph,20-Aug-91,University of Texas at Austin,74,200,Indiana Pacers
291,Frank Kaminsky,4-Apr-93,University of Wisconsin,83,200,Charlotte Hornets
292,Enes Kanter,20-May-92,,80,225,New York Knicks
293,Ryan Kelly,9-Apr-91,Duke University,84,270,
294,Luke Kennard,24-Jun-96,Duke University,80,215,Detroit Pistons
295,Michael Kidd-Gilchrist,26-Sep-93,University of Kentucky,77,195,Charlotte Hornets
296,Sean Kilpatrick,6-Jan-90,University of Cincinnati,76,210,Chicago Bulls
297,Maxi Kleber,29-Jan-92,,85,245,Dallas Mavericks
298,Brandon Knight,2-Dec-91,University of Kentucky,80,235,
299,Furkan Korkmaz,24-Jul-97,,80,234,Philadelphia 76ers
300,Kyle Korver,17-Mar-81,Creighton University,78,225,Cleveland Cavaliers
301,Kosta Koufos,24-Feb-89,Ohio State University,80,235,Sacramento Kings
302,Kyle Kuzma,24-Jul-95,University of Utah,79,210,Los Angeles Lakers
303,Mindaugas Kuzminskas,19-Oct-89,,72,185,New York Knicks
304,Skal Labissiere,18-Mar-96,University of Kentucky,80,246,
305,Jeremy Lamb,30-May-92,University of Connecticut,82,220,Charlotte Hornets
306,Nicolas Laprovittola,31-Jan-90,,75,211,
307,Shane Larkin,2-Oct-92,University of Miami,75,200,Boston Celtics
308,Joffrey Lauvergne,30-Sep-91,,83,265,San Antonio Spurs
309,Zach LaVine,10-Mar-95,"University of California, Los Angeles",76,191,Chicago Bulls
310,Ty Lawson,3-Nov-87,University of North Carolina,82,238,
311,Jake Layman,7-Mar-94,University of Maryland,81,235,Portland Trail Blazers
312,T.J. Leaf,30-Apr-97,"University of California, Los Angeles",82,245,Indiana Pacers
313,Courtney Lee,3-Oct-85,Western Kentucky University,75,175,New York Knicks
314,David Lee,29-Apr-83,University of Florida,81,238,
315,Alex Len,16-Jun-93,University of Maryland,85,275,Phoenix Suns
316,Kawhi Leonard,29-Jun-91,San Diego State University,77,200,San Antonio Spurs
317,Meyers Leonard,27-Feb-92,University of Illinois at Urbana-Champaign,78,223,Portland Trail Blazers
318,Jon Leuer,14-May-89,University of Wisconsin,77,170,Detroit Pistons
319,Caris LeVert,25-Aug-94,University of Michigan,76,207,Brooklyn Nets
320,DeAndre Liggins,31-Mar-88,University of Kentucky,83,240,New Orleans Pelicans
321,Damian Lillard,15-Jul-90,Weber State University,78,230,Portland Trail Blazers
322,Jeremy Lin,23-Aug-88,Harvard University,81,230,Brooklyn Nets
323,Shaun Livingston,11-Sep-85,,73,175,Golden State Warriors
324,Shawn Long,29-Jan-93,University of Louisiana at Lafayette,72,190,
325,Kevon Looney,6-Feb-96,"University of California, Los Angeles",73,179,Golden State Warriors
326,Brook Lopez,1-Apr-88,Stanford University,83,230,Los Angeles Lakers
327,Robin Lopez,1-Apr-88,Stanford University,83,228,Chicago Bulls
328,Kevin Love,7-Sep-88,"University of California, Los Angeles",84,241,Cleveland Cavaliers
329,Kyle Lowry,25-Mar-86,Villanova University,84,245,Toronto Raptors
330,John Lucas III,21-Nov-82,Oklahoma State University,77,190,
331,Timothe Luwawu-Cabarrot,9-May-95,,84,280,
332,Tyler Lydon,9-Apr-96,Syracuse University,76,209,Denver Nuggets
333,Trey Lyles,5-Nov-95,University of Kentucky,81,257,Denver Nuggets
334,Sheldon Mac,21-Dec-92,University of Miami,78,215,
335,Shelvin Mack,22-Apr-90,Butler University,82,250,Orlando Magic
336,Josh Magette,28-Nov-89,Alabama - Huntsville,79,241,Atlanta Hawks
337,Ian Mahinmi,5-Nov-86,,83,275,
338,Thon Maker,25-Feb-97,,76,210,Milwaukee Bucks
339,Boban Marjanovic,15-Aug-88,,84,238,
340,Lauri Markkanen,22-May-97,University of Arizona,80,210,Chicago Bulls
341,Jarell Martin,24-May-94,Louisiana State University,79,205,Memphis Grizzlies
342,Frank Mason,3-Apr-94,University of Kansas,83,270,Sacramento Kings
343,Mangok Mathiang,8-Oct-92,University of Louisville,73,175,Charlotte Hornets
344,Wesley Matthews,14-Oct-86,Marquette University,85,240,Dallas Mavericks
345,Luc Mbah a Moute,9-Sep-86,"University of California, Los Angeles",74,185,
346,James Michael McAdoo,4-Jan-93,University of North Carolina,82,230,Philadelphia 76ers
347,Patrick McCaw,25-Oct-95,"University of Nevada, Las Vegas",81,230,Golden State Warriors
348,C.J. McCollum,19-Sep-91,Lehigh University,76,200,Portland Trail Blazers
349,T.J. McConnell,25-Mar-92,University of Arizona,72,175,Philadelphia 76ers
350,Chris McCullough,5-Feb-95,Syracuse University,82,237,
351,K.J. McDaniels,9-Feb-93,Clemson University,76,185,
352,Doug McDermott,3-Jan-92,Creighton University,75,190,Dallas Mavericks
353,JaVale McGee,19-Jan-88,"University of Nevada, Reno",74,200,Golden State Warriors
354,Rodney McGruder,29-Jul-91,Kansas State University,81,232,Miami Heat
355,Alfonzo McKinnie,17-Sep-92,University of Wisconsin-Green Bay,83,245,Toronto Raptors
356,Ben McLemore,11-Feb-93,University of Kansas,83,249,Memphis Grizzlies
357,Jordan McRae,28-Mar-91,University of Tennessee,84,248,
358,Josh McRoberts,28-Feb-87,Duke University,79,220,Dallas Mavericks
359,Jodie Meeks,21-Aug-87,University of Kentucky,80,198,
360,Salah Mejri,15-Jun-86,,83,230,Dallas Mavericks
361,Jordan Mickey,9-Jul-94,Louisiana State University,87,240,Miami Heat
362,Khris Middleton,12-Aug-91,Texas A&M University,83,240,Milwaukee Bucks
363,C.J. Miles,18-Apr-87,,76,215,Toronto Raptors
364,Darius Miller,21-Mar-90,University of Kentucky,79,238,New Orleans Pelicans
365,Malcolm Miller,6-Mar-93,College of the Holy Cross,73,200,Toronto Raptors
366,Mike Miller,19-Feb-80,University of Florida,85,210,
367,Patty Mills,11-Aug-88,Saint Mary's College of California,82,220,
368,Elijah Millsap,12-Aug-87,University of Alabama at Birmingham,81,250,
369,Paul Millsap,10-Feb-85,Louisiana Tech University,81,260,Denver Nuggets
370,Nikola Mirotic,11-Feb-91,,76,190,
371,Donovan Mitchell,7-Sep-96,University of Louisville,82,220,Utah Jazz
372,Malik Monk,4-Feb-98,University of Kentucky,78,200,Charlotte Hornets
373,Greg Monroe,4-Jun-90,Georgetown University,78,205,Boston Celtics
374,E'Twaun Moore,28-Feb-89,Purdue University,76,200,New Orleans Pelicans
375,Eric Moreland,24-Dec-91,Oregon State University,79,210,Detroit Pistons
376,Marcus Morris,2-Sep-89,University of Kansas,73,186,Boston Celtics
377,Markieff Morris,2-Sep-89,University of Kansas,75,190,
378,Monte Morris,27-Jun-95,Iowa State University,79,206,Denver Nuggets
379,Anthony Morrow,27-Sep-85,Georgia Institute of Technology,74,190,
380,Donatas Motiejunas,20-Sep-90,,76,194,
381,Johnathan Motley,4-May-95,Baylor University,77,195,Dallas Mavericks
382,Timofey Mozgov,16-Jul-86,,83,240,Brooklyn Nets
383,Emmanuel Mudiay,5-Mar-96,,81,214,New York Knicks
384,Shabazz Muhammad,13-Nov-92,"University of California, Los Angeles",82,223,Milwaukee Bucks
385,Dejounte Murray,19-Sep-96,University of Washington,79,210,San Antonio Spurs
386,Jamal Murray,23-Feb-97,University of Kentucky,73,172,Denver Nuggets
387,Mike Muscala,1-Jul-91,Bucknell University,80,237,Atlanta Hawks
388,Abdel Nader,25-Sep-93,Iowa State University,79,220,Boston Celtics
389,Larry Nance,1-Jan-93,University of Wyoming,77,230,
390,Shabazz Napier,14-Jul-91,University of Connecticut,75,190,Portland Trail Blazers
391,Maurice Ndour,18-Jun-92,Ohio University,77,220,
392,Gary Neal,3-Oct-84,Towson University,81,230,
393,Jameer Nelson,9-Feb-82,Saint Joseph's University,82,230,Detroit Pistons
394,Raul Neto,19-May-92,,78,195,
395,Georges Niang,17-Jun-93,Iowa State University,77,166,Utah Jazz
396,Andrew Nicholson,8-Dec-89,St. Bonaventure University,80,228,
397,Joakim Noah,25-Feb-85,University of Florida,76,220,New York Knicks
398,Nerlens Noel,10-Apr-94,University of Kentucky,75,195,Dallas Mavericks
399,Lucas Nogueira,26-Jul-92,,72,175,Toronto Raptors
400,Steve Novak,13-Jun-83,Marquette University,78,225,
401,Dirk Nowitzki,19-Jun-78,,84,245,Dallas Mavericks
402,Frank Ntilikina,28-Jul-98,,81,225,New York Knicks
403,Jusuf Nurkic,23-Aug-94,,79,200,Portland Trail Blazers
404,David Nwaba,14-Jan-93,"California Polytechnic State University, San Luis Obispo",82,255,Chicago Bulls
405,Johnny O'Bryant,1-Jun-93,Louisiana State University,78,205,Charlotte Hornets
406,Royce O'Neale,5-Jun-93,Baylor University,77,230,Utah Jazz
407,Kyle O'Quinn,26-Mar-90,Norfolk State University,78,200,New York Knicks
408,Daniel Ochefu,15-Dec-93,Villanova University,80,250,
409,Semi Ojeleye,5-Dec-94,Southern Methodist University,80,205,Boston Celtics
410,Jahlil Okafor,15-Dec-95,Duke University,75,170,Brooklyn Nets
411,Victor Oladipo,4-May-92,Indiana University,74,186,Indiana Pacers
412,Kelly Olynyk,19-Apr-91,Gonzaga University,81,242,Miami Heat
413,Arinze Onuaku,13-Jul-87,Syracuse University,78,195,
414,Chinanu Onuaku,1-Nov-96,University of Louisville,77,196,Houston Rockets
415,Cedi Osman,8-Apr-95,,74,185,Cleveland Cavaliers
416,Kelly Oubre,9-Dec-95,University of Kansas,81,215,
417,Zaza Pachulia,10-Feb-84,,80,235,Golden State Warriors
418,Marcus Paige,11-Sep-93,University of North Carolina,79,215,Charlotte Hornets
419,Georgios Papagiannis,3-Jul-97,,81,238,Portland Trail Blazers
420,Jabari Parker,15-Mar-95,Duke University,77,212,Milwaukee Bucks
421,Tony Parker,17-May-82,,80,240,San Antonio Spurs
422,Chandler Parsons,25-Oct-88,University of Florida,84,244,Memphis Grizzlies
423,Lamar Patterson,12-Aug-91,University of Pittsburgh,78,245,
424,Patrick Patterson,14-Mar-89,University of Kentucky,79,220,Oklahoma City Thunder
425,Brandon Paul,30-Apr-91,University of Illinois at Urbana-Champaign,83,243,San Antonio Spurs
426,Chris Paul,6-May-85,Wake Forest University,82,240,Houston Rockets
427,Adreian Payne,19-Feb-91,Michigan State University,70,150,Orlando Magic
428,Cameron Payne,8-Aug-94,Murray State University,84,265,Chicago Bulls
429,Elfrid Payton,22-Feb-94,University of Louisiana at Lafayette,78,212,Phoenix Suns
430,Gary Payton,1-Dec-92,Oregon State University,72,195,
431,London Perrantes,3-Oct-94,University of Virginia,78,202,Cleveland Cavaliers
432,Alec Peters,13-Apr-95,Valparaiso University,82,240,Phoenix Suns
433,Paul Pierce,13-Oct-77,University of Kansas,84,260,
434,Marshall Plumlee,14-Jul-92,Duke University,76,220,Milwaukee Bucks
435,Mason Plumlee,5-Mar-90,Duke University,76,225,Denver Nuggets
436,Miles Plumlee,1-Sep-88,Duke University,73,172,Atlanta Hawks
437,Jakob Poeltl,15-Oct-95,University of Utah,76,195,
438,Quincy Pondexter,10-Mar-88,University of Washington,80,220,Chicago Bulls
439,Otto Porter,3-Jun-93,Georgetown University,73,189,
440,Bobby Portis,10-Feb-95,University of Arkansas,80,230,Chicago Bulls
441,Kristaps Porzingis,2-Aug-95,,74,165,
442,Dwight Powell,20-Jul-91,Stanford University,81,250,Dallas Mavericks
443,Norman Powell,25-May-93,"University of California, Los Angeles",75,200,Toronto Raptors
444,Alex Poythress,6-Sep-93,University of Kentucky,77,190,Indiana Pacers
445,Ronnie Price,21-Jun-83,Utah Valley State College,80,204,
446,Jacob Pullen,10-Nov-89,Kansas State University,76,213,Philadelphia 76ers
447,Zhou Qi,16-Jan-96,,84,265,Houston Rockets
448,Tim Quarterman,27-Oct-94,Louisiana State University,80,199,Houston Rockets
449,Ivan Rabb,4-Feb-97,University of California,79,215,Memphis Grizzlies
450,Chasson Randle,5-Feb-93,Stanford University,78,225,
451,Julius Randle,29-Nov-94,University of Kentucky,77,225,Los Angeles Lakers
452,Zach Randolph,16-Jul-81,Michigan State University,73,175,Sacramento Kings
453,J.J. Redick,24-Jun-84,Duke University,81,237,Philadelphia 76ers
454,Willie Reed,16-May-90,Saint Louis University,77,210,Detroit Pistons
455,Josh Richardson,15-Sep-93,University of Tennessee,79,218,Miami Heat
456,Malachi Richardson,5-Jan-96,Syracuse University,82,234,Toronto Raptors
457,Austin Rivers,1-Aug-92,Duke University,79,230,Los Angeles Clippers
458,Andre Roberson,4-Dec-91,University of Colorado,79,225,
459,Brian Roberts,3-Dec-85,University of Dayton,84,231,
460,Glenn Robinson,8-Jan-94,University of Michigan,76,190,Indiana Pacers
461,Thomas Robinson,17-Mar-91,University of Kansas,82,210,
462,Sergio Rodriguez,12-Jun-86,,77,183,
463,Rajon Rondo,22-Feb-86,University of Kentucky,79,260,New Orleans Pelicans
464,Derrick Rose,4-Oct-88,University of Memphis,74,180,Minnesota Timberwolves
465,Terrence Ross,5-Feb-91,University of Washington,79,210,Orlando Magic
466,Terry Rozier,17-Mar-94,University of Louisville,80,221,Boston Celtics
467,Ricky Rubio,21-Oct-90,,84,240,Utah Jazz
468,Damjan Rudez,17-Jun-86,,84,253,
469,Brandon Rush,7-Jul-85,University of Kansas,80,215,
470,D'Angelo Russell,23-Feb-96,Ohio State University,83,250,Brooklyn Nets
471,Domantas Sabonis,3-May-96,Gonzaga University,85,265,Indiana Pacers
472,JaKarr Sampson,20-Mar-93,St. John's University,,,Sacramento Kings
473,Larry Sanders,21-Nov-88,Virginia Commonwealth University,,,
474,Dario Saric,8-Apr-94,,,,Philadelphia 76ers
475,Tomas Satoransky,30-Oct-91,,,,
476,Dennis Schroder,15-Sep-93,,,,
477,Luis Scola,30-Apr-80,,,,
478,Mike Scott,16-Jul-88,University of Virginia,,,
479,Thabo Sefolosha,2-May-84,,,,Utah Jazz
480,Wayne Selden,30-Sep-94,University of Kansas,,,Memphis Grizzlies
481,Kevin Seraphin,7-Dec-89,,,,
482,Ramon Sessions,11-Apr-86,"University of Nevada, Reno",,,
483,Iman Shumpert,26-Jun-90,Georgia Institute of Technology,,,Cleveland Cavaliers
484,Pascal Siakam,4-Feb-94,New Mexico State University,,,Toronto Raptors
485,Ben Simmons,20-Jul-96,Louisiana State University,,,Philadelphia 76ers
486,Jonathon Simmons,14-Sep-89,University of Houston,,,Orlando Magic
487,Kobi Simmons,4-Jul-97,University of Arizona,,,Memphis Grizzlies
488,Kyle Singler,4-May-88,Duke University,,,Oklahoma City Thunder
489,Marcus Smart,6-Mar-94,Oklahoma State University,,,Boston Celtics
490,Dennis Smith,25-Nov-97,North Carolina State University,,,Dallas Mavericks
491,Ish Smith,5-Jul-88,Wake Forest University,,,
492,J.R. Smith,9-Sep-85,,,,Cleveland Cavaliers
493,Jason Smith,2-Mar-86,Colorado State University,,,
494,Josh Smith,5-Dec-85,,,,New Orleans Pelicans
495,Tony Snell,10-Nov-91,University of New Mexico,,,Milwaukee Bucks
496,Marreese Speights,4-Aug-87,University of Florida,,,Orlando Magic
497,Tiago Splitter,1-Jan-85,,,,
498,Nik Stauskas,7-Oct-93,University of Michigan,,,Brooklyn Nets
499,Lance Stephenson,5-Sep-90,University of Cincinnati,,,Indiana Pacers
500,Jarnell Stokes,7-Jan-94,University of Tennessee,,,
501,Diamond Stone,10-Feb-97,University of Maryland,,,
502,Julyan Stone,7-Dec-88,University of Texas at El Paso,,,Charlotte Hornets
503,Rodney Stuckey,21-Apr-86,Eastern Washington University,,,
504,Jared Sullinger,4-Mar-92,Ohio State University,,,
505,Caleb Swanigan,18-Apr-97,Purdue University,,,Portland Trail Blazers
506,Jayson Tatum,3-Mar-98,Duke University,,,Boston Celtics
507,Edy Tavares,22-Mar-92,,,,
508,Isaiah Taylor,11-Jul-94,University of Texas at Austin,,,Atlanta Hawks
509,Jeff Teague,10-Jun-88,Wake Forest University,,,Minnesota Timberwolves
510,Mirza Teletovic,18-Sep-85,,,,
511,Garrett Temple,8-May-86,Louisiana State University,,,Sacramento Kings
512,Milos Teodosic,19-Mar-87,,,,Los Angeles Clippers
513,Jason Terry,15-Sep-77,University of Arizona,,,Milwaukee Bucks
514,Daniel Theis,4-Apr-92,,,,Boston Celtics
515,Isaiah Thomas,7-Feb-89,University of Washington,,,Los Angeles Lakers
516,Lance Thomas,24-Apr-88,Duke University,,,New York Knicks
517,Hollis Thompson,3-Apr-91,Georgetown University,,,
518,Klay Thompson,8-Feb-90,Washington State University,,,Golden State Warriors
519,Tristan Thompson,13-Mar-91,University of Texas at Austin,,,Cleveland Cavaliers
520,Marcus Thornton,5-Jun-87,Louisiana State University,,,
521,Sindarius Thornwell,15-Nov-94,University of South Carolina,,,Los Angeles Clippers
522,Mike Tobey,10-Oct-94,University of Virginia,,,
523,Anthony Tolliver,1-Jun-85,Creighton University,,,Detroit Pistons
524,Axel Toupane,23-Jul-92,,,,
525,Karl-Anthony Towns,15-Nov-95,University of Kentucky,,,Minnesota Timberwolves
526,P.J. Tucker,5-May-85,University of Texas at Austin,,,Houston Rockets
527,Evan Turner,27-Oct-88,Ohio State University,,,Portland Trail Blazers
528,Myles Turner,24-Mar-96,University of Texas at Austin,,,Indiana Pacers
529,Ekpe Udoh,20-May-87,Baylor University,,,Utah Jazz
530,Beno Udrih,5-Jul-82,,,,
531,Tyler Ulis,5-Jan-96,University of Kentucky,,,Phoenix Suns
532,Jarrod Uthoff,19-May-93,University of Iowa,,,
533,Jonas Valanciunas,6-May-92,,,,
534,Denzel Valentine,16-Nov-93,Michigan State University,,,Chicago Bulls
535,Fred VanVleet,25-Feb-94,Wichita State University,,,Toronto Raptors
536,Anderson Varejao,28-Sep-82,,,,
537,Greivis Vasquez,16-Jan-87,University of Maryland,,,
538,Rashad Vaughn,16-Aug-96,"University of Nevada, Las Vegas",,,Orlando Magic
539,Noah Vonleh,24-Aug-95,Indiana University,,,Chicago Bulls
540,Nikola Vucevic,24-Oct-90,University of Southern California,,,
541,Sasha Vujacic,8-Mar-84,,,,
542,Dwyane Wade,17-Jan-82,Marquette University,,,Miami Heat
543,Dion Waiters,10-Dec-91,Syracuse University,,,Miami Heat
544,Kemba Walker,8-May-90,University of Connecticut,,,Charlotte Hornets
545,John Wall,6-Sep-90,University of Kentucky,,,
546,Taurean Waller-Prince,22-Mar-94,Baylor University,,,
547,Derrick Walton,3-Apr-95,University of Michigan,,,Miami Heat
548,T.J. Warren,5-Sep-93,North Carolina State University,,,Phoenix Suns
549,C.J. Watson,17-Apr-84,University of Tennessee,,,
550,Briante Weber,29-Dec-92,Virginia Commonwealth University,,,Memphis Grizzlies
551,David West,29-Aug-80,Xavier University,,,Golden State Warriors
552,Russell Westbrook,12-Nov-88,"University of California, Los Angeles",,,Oklahoma City Thunder
553,Derrick White,2-Jul-94,University of Colorado,,,San Antonio Spurs
554,Okaro White,13-Aug-92,Florida State University,,,Miami Heat
555,Isaiah Whitehead,8-Mar-95,Seton Hall University,,,Brooklyn Nets
556,Hassan Whiteside,13-Jun-89,Marshall University,,,Miami Heat
557,Andrew Wiggins,23-Feb-95,University of Kansas,,,Minnesota Timberwolves
558,C.J. Wilcox,30-Dec-90,University of Washington,,,
559,Jacob Wiley,4-Sep-94,Eastern Washington University,,,Brooklyn Nets
560,Damien Wilkins,11-Jan-80,University of Georgia,,,Indiana Pacers
561,Alan Williams,28-Jan-93,"University of California, Santa Barbara",,,Phoenix Suns
562,C.J. Williams,6-Feb-90,North Carolina State University,,,Los Angeles Clippers
563,Deron Williams,26-Jun-84,University of Illinois at Urbana-Champaign,,,
564,Derrick Williams,25-May-91,University of Arizona,,,Los Angeles Lakers
565,Lou Williams,27-Oct-86,,,,Los Angeles Clippers
566,Marvin Williams,19-Jun-86,University of North Carolina,,,Charlotte Hornets
567,Matt Williams,14-Oct-93,University of Central Florida,,,Miami Heat
568,Reggie Williams,14-Sep-86,Virginia Military Institute,,,
569,Troy Williams,30-Dec-94,Indiana University,,,New York Knicks
570,D.J. Wilson,19-Feb-96,University of Michigan,,,Milwaukee Bucks
571,Jamil Wilson,21-Nov-90,Marquette University,,,Los Angeles Clippers
572,Kyle Wiltjer,20-Oct-92,Gonzaga University,,,
573,Justise Winslow,26-Mar-96,Duke University,,,Miami Heat
574,Jeff Withey,7-Mar-90,University of Kansas,,,Dallas Mavericks
575,Nate Wolters,15-May-91,South Dakota State University,,,Utah Jazz
576,Christian Wood,27-Sep-95,"University of Nevada, Las Vegas",,,
577,Metta World Peace,13-Nov-79,St. John's University,,,
578,Brandan Wright,5-Oct-87,University of North Carolina,,,Houston Rockets
579,Delon Wright,26-Apr-92,University of Utah,,,Toronto Raptors
580,Guerschon Yabusele,17-Dec-95,,,,Boston Celtics
581,James Young,16-Aug-95,University of Kentucky,,,Philadelphia 76ers
582,Joe Young,27-Jun-92,University of Oregon,,,
583,Nick Young,1-Jun-85,University of Southern California,,,Golden State Warriors
584,Thaddeus Young,21-Jun-88,Georgia Institute of Technology,,,Indiana Pacers
585,Cody Zeller,5-Oct-92,Indiana University,,,Charlotte Hornets
586,Tyler Zeller,17-Jan-90,University of North Carolina,,,Milwaukee Bucks
587,Stephen Zimmerman,9-Sep-96,"University of Nevada, Las Vegas",,,
588,Paul Zipser,18-Feb-94,,,,Chicago Bulls
589,Ante Zizic,4-Jan-97,,,,
590,Ivica Zubac,18-Mar-97,,,,Los Angeles Lakers