stadium,city,state
TD Garden,Boston,Massachusetts
Barclays Center,Brooklyn,New York
Madison Square Garden,New York,New York
Wells Fargo Center,Philadelphia,Pennsylvania
Air Canada Centre,Toronto,Ontario
United Center,Chicago,Illinois
Quicken Loans Arena,Cleveland,Ohio
The Palace of Auburn Hills,Detriot,Michigan
Bankers Life Fieldhouse,Indianapolis,Indiana
Bradley Center,Milwaukee,Wisconsin
Philips Arena,Atlanta,Georgia
Time Warner Cable Arena,Charlotte,North Carolina
AmericanAirlines Arena,Miami,Florida
Amway Center,Orlando,Florida
Verizon Center,Washington,D.C.
Pepsi Center,Denver,Colorado
Target Center,Minneapolis,Minnesota
Chesapeake Energy Arena,Oklahoma City,Oklahoma
Rose Garden,Portland,Oregon
EnergySolutions Arena,Salt Lake City,Utah
Oracle Arena,Oakland,California
Staples Center,Los Angeles,California
Staples Center,Los Angeles,California
US Airways Center,Phoenix,Arizona
Power Balance Pavilion,Sacramento,California
American Airlines Center,Dallas,Texas
Toyota Center,Houston,Texas
FedExForum,Memphis,Tennessee
New Orleans Arena,New Orleans,Louisiana
AT&T Center,San Antonio,Texas