name,stadium
Boston Celtics,TD Garden
Brooklyn Nets,Barclays Center
New York Knicks,Madison Square Garden
Philadelphia 76ers,Wells Fargo Center
Toronto Raptors,Air Canada Centre
Chicago Bulls,United Center
Cleveland Cavaliers,Quicken Loans Arena
Detriot Pistons,The Palace of Auburn Hills
Indianapolis Pacers,Bankers Life Fieldhouse
Milwaukee Bucks,Bradley Center
Atlanta Hawks,Philips Arena
Charlotte Hornets,Time Warner Cable Arena
Miami Heat,AmericanAirlines Arena
Orlando Magic,Amway Center
Washington Wizards,Verizon Center
Denver Nuggets,Pepsi Center
Minnesota Timberwolves,Target Center
Oklahoma City Thunder,Chesapeake Energy Arena
Portland Trail Blazers,Rose Garden
Utah Jazz,EnergySolutions Arena
Golden State Warriors,Oracle Arena
Los Angeles Clippers,Staples Center
Los Angeles Lakers,Staples Center
Phoenix Suns,US Airways Center
Sacramento Kings,Power Balance Pavilion
Dallas Mavericks,American Airlines Center
Houston Rockets,Toyota Center
Memphis Grizzlies,FedExForum
New Orleans Pelicans,New Orleans Arena
San Antonio Spurs,AT&T Center